College Name,Address,District,Website,Email address,Contact Number,TPO name,TPO contact number
"Shri.Sant Muktabai  Santha's Institute  of Technology, Jalgaon","B.J.Nagar, Pimprala Road, P.O.Box No.132, Jalgaon 425001 (M.S.) ",Jalgaon,www.muktaieducation.org,smitcollegejalgaon@gmail.com,2250776,Mr. D.J.Patil,2250500
"Mahatma Gandhi Vidya Mandir Institute Of  Hotel Management And Catering Technology,Nashik","Panchavati,Mumbai-Agra Road, Nashik 422003",Nashik,www.mgv.org.in,mgvdhmct@gmail.com,2628281,Mr Sanjay Keshav Kadwe,2628283
"Pune Vidyarthi Griha's College Of Engineering, Nashik","206, Dindori Road, Near Meri, Mhasrul, Nashik",Nashik,pvgcoenashik.org,pvgcoenashik@gmail.com,6480003,Mr S.N.Gunjal,6480036
"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Technology, Agastkhind, Tal Sinner","Srv. No. 2, At. Post Agastkhind, Tal Sinner Dist. Nashik 422502",Nashik,www.sitp.co.in,1473principal@msbte.com,2551304,Akolkar Naresh Shashikant,2551304
"Seva Shikshan Prasarak Mandal, Dr. N. J. Paulbudhe Institute of Technology, Narayandoho Tal Nagar, Ahmednagar
",Gate No. 479 At. Post Narayandoho Tal Nagar Dist. Ahmednagar,Ahmednagar,sspm.online.org.in,polytech_paulbudhe@yahoo.in,2030627,MR. KARAMPURI R.S.,2030626
"Nashik Institute of Technology, Late Annasaheb Patil Polytechnic , Dindori Road Cannol road ,MERI ,Nashik","Srv. No,.155 / 1A Dindori Road Cannol road MERI Nashik ",Nashik,www.nitnasik.com,principal@nitnasik.com,2629777,Mr. JAGTAP M.P.,2024121
"Godavari Foundation,Dr.Varsha Patil Institute of Technology, Jalgaon",Jalgaon  425309,Jalgaon,www.dvpit.in,dvpit2010@gmail.com,77200899,S.D.Bendale,77200899
"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.","At Post Dondaicha, Dist. Dhule",Dhule,www.jaytech.co,5381jaytech@gmail.com,244123,MR SHAMKUMAR BHAVSAR,256244123
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti","Survey No. 162& 163, Nepti, Nagar Kalyan Road, Ahmednagar",Ahmednagar,www.scoea.org,scsmcoe.anr@hotmail.com,2568384,Mr. M. B. Amrute,2568383
"Shree Saibaba Institute of Engineering, Research & Allied Sciences, Rahta.","At Post Rahta, Taluka Rahata, Dist. Ahmednagar",Ahmednagar,www.shrisaibabaengg.org,shrisaibabaengg@gmail.com,204578,Rohamare R.V.,204580
"Akole Taluka Education Society,s Technical Campus, Akole, Ahmednagar","Akole, Tal. Akole, Dist. Ahmednagar",Ahmednagar,www.atestc.com,akole2011@gmail.com,95957577,Wakchaure Santosh Tukaram,221123
"Ashok Institute of Engineering & Technology(Polytechnic), Shrirampur.","Ashok Nagar, Tal.Shrirampur, Dist. Ahmednagar.413717",Ahmednagar,www.ashokpolytechnic.org,ashoktech_ashoknagar@yahoo.com,246021,Thorat Sachin N,246021
"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon","Gat No 166 Bambhori, Jalgaon",Jalgaon,www.nmkcj.org,nmkcjalgaon49@gmail.com,2588202,Rohit C Patil,93714
"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.","Survey No.48, Gowardhan, Gangapur Road, Nashik.",Nashik,www.jitnashik.edu.in,principaljitnashik@rediffmail.com,2970077,Mr. Jagdish V. Patil,2970077
"Gurukul Education Society's Institute of Engineering & Technology, Nandgaon","S.No. 34/1B, & 34/2, At Phule Nagar, Post Nandgaon, Tal. & Dist. Nashik.",Nashik,www.gurukulpolytechnic.org,1607principal@msbte.com,243488,MR.NILLESH S.VAIDYA,243488
"Vidya Niketan College of Engineering, Bota Sangamner","Gat No. 670, Vidya Nagari, Pune Nashik Road, at post Bota, TalSangamner, Dist. Ahmednagar.",Ahmednagar,www.vidyaniketanglobal.com,vncoe.principal@gmail.com,8600888433,SANDIP BHAIK,8600888433
"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar","At Post Karjule Harya, Tal. Parner, Dist Ahmednagar",Ahmednagar,www.rgcoe.org,rajivgandhi.iot@gmail.com,9604049525,Mr.Pawar Santosh Barku,295101
"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.","Mansoora, Malegaon-Manmad Road, P.B.No.144, Malegaon, Nashik.",Nashik,www.mmantc.in,mmantc@gmail.com,9970178118,Mr.Hamid Ajij Shaikh ,2554
"Nikam Institute of Technology(Polytechnic),Dhule","Morane-Gondur byPass road,Gondur",Dhule,www.nitgondur.org,5414nikampoly@gmail.com,297309,JITENDRA ANANDRAO SONAWANE,297309
"Guru Gobind Singh College of Engineering & Research Centre, Nashik.","Khalsa Educational Complex, Guru Gobind Singh Marg, Nashik.",Nashik,www.ggsf.edu.in,gcoerc.nashik@ggsf.edu.in,2372766,Manoj Koli,2372766
"Mauli Institute of Technology (Polytechnic), Amalner, Dist. Jalgaon","Gut No.25/1/A, Dheku Road, Ambasan Dheku, Amalner, District Jalgaon. ",Jalgaon,www.maulipoly.com,maulipoly@gmail.com,7588007270,MR.SWAPNIL PATIL,218200
"Shri. Sai Institute of Technology, Amalner","Gat NO.15/1, Devli/Devgaon, Tal.Amalner, Dist Jalgaon.",Jalgaon,shrisaiinstituteoftechnology.org,php_pune@rediffmail.com,9423479388,Prakash H. Patil,218312
"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule","Survey No. 499/1, Plot No.2, Behind Gurudwara, Mumbai Agra Highway, Dhule",Dhule,www.svkm-iot.ac.in,IOTDhule@svkm.ac.in,2562297801,Mr. Anmol Suryavanshi,2562297801
"Government College of Engineering & Research, Avasari Khurd","Avasari, Tal. Ambegaon. Dist. Pune",Pune,www.gcoeara.ac.in,gcoeara@gmail.com,230582,"I/c Registrar, Shri. C.A. Suryawanshi",230582
"Government College of Engineering, Karad","Vidyanagar, Karad  Dist. Satara",Satara,www.gcekarad.ac.in,principal@gcekarad.ac.in,272415,Mr. D. Y. Peraspure,272414
"College of Engineering, Pune","Wellesly Road, Shivaji Nagar, Pune",Pune,www.coep.org.in,director@coep.ac.in,25507001,0,25507000
"Walchand College of Engineering, Sangli","Walchand College of Engineering, Vishram Bagh, Sangli",Sangli,www.walchandsangli.ac.in,director@walchandsangli.ac.in,2305506,Dr. D. B. Kulkarni,2303433
"Institute of Civil and Rural Engineering(aided), Gargoti, Kolhapur","Hutatma Murlidhar Nagar, Gargoti, Kolhapur  416209",Kolhapur,www.icregargoti.org,icre_gargoti@rediffmail.com,220249,Shri Bhoite P.D.,220069
"Maharashtra  Institute of  Printing Technology(Aided), Pune","1786, Sadashiv Peth Pune , 411030",Pune,www.pvgmipt.ac.in,mipt.pvg@gmail.com,24470573,Mr.A.B.Mahadik,24479058
"Cusrow Wadia Institute of Technology( Aided ), Pune ","19, Bundgarden Rd.,Pune Pune , 411001",Pune,www.cwitpune.com,cwitpune@rediffmail.com,26161310,Shri S. R. Abnave,26164814
"Maharashtra State Institute of Hotel Management & Catering Technology,Pune","412-C, Shivaji Nagar, Pune , 411016",Pune,www.msihmctpune.edu.in,office.msihmcpune@dtemaharashtra.gov.in,25676640,Mrs. Sunita Jagtap,25677189
"Department of Technology, Shivaji University, Kolhapur","Vidyanagar, Kolhapur",Kolhapur,www.unishivaji.ac.in,director.tech@unishivaji.ac.in,2605972,Dr.V.D.Nandavadekar,2605970
"Sinhgad Technical Education Society's Sinhgad Institute of Management, Vadgaon (Budruk), Pune","S. No. 44/1, Opp Sinhagad Road, Vadgaon (Budruk), Pune  411041",Pune,www.sinhgad.edu,director_siom@sinhgad.edu,24355531,Mrs.Rupali Warokar,24356592
"Vidya Pratishthan Institute of Information Technology, Baramati, Pune","Vidyanagari, Bhigwan Road, Baramati Dist. Pune  413133",Pune,www.viitindia.org,info@viitindia.org,239555,Mr. Sanjay Jagtap,239555
"Progressive Education Society's Modern College of Engineering, Pune","P.E.S. Modern College of Engineering, 1186 A, Shivajinagar, Off. J.M. Road, Pune ",Pune,www.moderncoe.edu.in,pesmcoe@gmail.com,25533638,Mr. D. D. Gangurde,25533638
"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune","S. No. 80/3, Mumbai Pune Bypass Highway,  Tathawade,Tal-Munshi, Dist. Pune",Pune,www.rscoe.org,rscoe@jspm.edu.in,22934347,Dr. Amey A Choudhari,22933423
"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune","Survey No. 25/1/3, Infront of Chatrapati Shivaji Sports Stadium, Balewadi, Tal. Haveli, Dist. Pune",Pune,www.gsmozecoe.org,ratnaraj.jambi@gmail.com,27390064,Ratna Raja Kumar,27390500
"JSPM'S Jaywantrao Sawant College of Engineering,Pune","S. No. 58, Indrayani Nagar, Handewadi Road, Hadapsar, Pune",Pune,www.jspm.edu.in,drmgjadhav@gmail.com,26970983,Gawade J.R.,26970886
"MIT Academy of Engineering,Alandi, Pune","Alandi (D) Tal. Khed, Dist. Pune",Pune,www.mitaoe.ac.in,principal@maepune.ac.in,30253600,Mr. Manoj N Bade,30253500
"MAEER's M.I.T. College of Engineering , Kothrud, Pune","S.No. 124, Ex. Serviceman Colony, MIT College Campus, Paud Road, Kothrud, Pune",Pune,www.mitcoe.edu.in,principal@mitcoe.edu.in,30273400,Mr. Yogesh B. Shedge,30273400
"Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering, Maval","Chakan Talegaon Road, At Post Sudumbare, Tal. Maval Dist. Pune",Pune,www.siddhantcoe.edu.in,engineeringprincipal@gmail.com,661966,Miss Babar.D.R,661904
"Maharashtra Institute of Technology, Kothrud, Pune","Paud Road,Survey No. 124, Ex-Servicemen Colony Paud Road, Kothrud, Pune",Pune,www.mitpune.com,mit@mitpune.com,30273456,ABHAY BIRARI,30273400
"G.H.Raisoni College of Engineering & Management, Wagholi, Pune","Gat No. 1200 , Domkhel Road, Wagholi,Tal-Haveli, Dist. Pune",Pune,ghrcem.raisoni.net,ghrcem.pune@raisoni.net,9921580670,Mr. S. H. Karande,9921580670
"JSPM's Imperial College of Engineering and Research, Wagholi, Pune","Gat No. 720/2, Pune-Ahmadnagar Road, Wagholi, Tal- Haveli,  Dist. Pune",Pune,www.jspmicoer.edu.in,principal@jspmicoer.edu.in,67335102,Dr . A. W. Dhawale,67335100
"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune","Sector 26, Pradhikaran,  Nigdi Pradhikaran, Pune ",Pune,www.pccoepune.com,pccoeadmin@gmail.com,27653168,Mr. P. S. Patil,27653168
"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune","Gat No.1200, Navin Wagholi, Tal. Haveli  Dist. Pune",Pune,ghriet.raisoni.net,r.kharadkar@raisoni.net,9604787185,Prof Hate Sudhir ,9604787186
"Sinhgad College of Engineering, Vadgaon (BK), Pune","44/1, Vadgaon,(bk) off Sinhgad Road Pune ",Pune,www.sinhgad.edu,principal.scoe@sinhgad.edu,24354705,V D Tayade,24100000
"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune","S. No. 44/1, Vadgaon(bk) off Sinhgad Road, Pune",Pune,www.sinhgad.edu,principal.skncoe@sinhgad.edu,24354938,KAVITA SHIRISH BORGAVE,24354938
"Indira College of Engineering & Management, Pune","Survey No.64,65,Gat No.276, At Post Parandwadi, Near Somatne Phata, Tal- Maval Dist. Pune",Pune,www.indiraicem.ac.in,principal@indiraicem.ac.in,661500,Mr.Gajanan T. Adke,661500
"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima","Sharad Campus Pimpal, Jagtap Road A/P, Koregaon Bhima Tal-Shirur, Pune",Pune,www.alameencoe.com,alameenpune@gmail.com,646010,SHAIKH TANVEER SABIR,646015
"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli","S.No. 25/27, Pisoli, Tal.Haveli Dist. Pune",Pune,www.kjei.edu.in,trinitycoe@gmail.com,8446041199,Mr.Prashant Renushe,8446041199
"Sinhagad Institute of Technology, Lonavala","Gat No.309/310/314, Pune-Mumbai Express Highway, kasgaon(BK), Lonavala Pune , 410401",Pune,www.sinhgad.edu,principal_sit@sinhgad.edu,673353,D R RAUT,673356
"Sinhgad Academy of Engineering, Kondhwa (BK)  Kondhwa-Saswad Road, Pune","S.No.40/4A, Kondhwa(BK), Kondhwa-Saswad Road, Pune ",Pune,www.sinhgad.edu,saeprincipal@sinhagad.edu,26934550,S.N. Kamat,26934441
"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune","Survey No.35, Plot No. 5/6, Lohgaon Tal. Haveli Dist. Pune",Pune,www.mmit.edu.in,principal@mmit.edu.in,9049008003,Uday Wankhede,7447786623
"Pune District Education  Association's College of Engineering, Pune","Hadapsar-Manjari Road, Manjari(BK),Dist. Pune ",Pune,www.pdeacoem.org,coem@pdeapune.org,26996625,VAIDYA M C,26996275
"Dr. D. Y. Patil Vidya Pratishthan Society’s Dr. D. Y. Patil Institute of Technology, Pimpri, Pune","Sant Tukaram Nagar, Pimpri, Pune“",Pune,www.engg.dypvp.edu.in,info.engg@dypvp.edu.in,27421096,Mr. Babasaheb Powar (Office-Superintendent),27421095
"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli","Rajaramnagar, A/p. Sakhrale, Tal: Walwa   Dist. Sangli ",Sangli,www.ritindia.edu,director@ritindia.edu,221001,Mrs. Sarika D. Patil ,220329
"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur","P.O. Box No. 54, Gopalpur - Ranjani Road,   Gopalpur,  Pandharpur Dist. Solapur",Solapur,www.sveri.ac.in,coe@sveri.ac.in,9545553737,Mr. R. G. Zarkar ,7767003431
"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.","Post Box No. 130, Rajwada, Ichalkaranji. Dist. Kolhapur",Kolhapur,www.dktes.com,dktestextile@gmail.com,2437311,Rajendra R Shah,2421300
"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur","Post Box No.154,Gut No. 16, Hipparanga, Tuljapur Road, North Solapur ",Solapur,www.orchidengg.ac.in,office@orchidengg.ac.in,2500021,Mr. Shelke S. S.,2500020
"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.","Post Box No. 130, Rajwada, Ichalkaranji. Dist. Kolhapur",Kolhapur,www.dktes.com,dkte@sancharnet.in,2437311,SHRI RAJENDRA R. SHAH,2421300
"Sinhgad Technical Education Society's Sinhgad Institute of Management ,Vadgaon(Budruk),Pune","S. No. 44/1, Opp Sinhagad Road, Vadgaon (Budruk), Pune 411041",Pune,www.sinhgad.edu,directormca_siom@sinhgad.edu,24100000,Mrs. Rupali Warokar,24358360
"Deccan Education Society's Technical Institute ,Pune","BMCC Road, Opposite to IMDR, Fergussons Campus, Pune",Pune,www.destip.org,principal@destip.org,67656282,Dr. Raviprakash H. Dongre,67656281
"Sinhgad Technical Education Society, Sinhgad Institute of Management & Computer Application, Narhe (Ambegaon), Pune","At Post Narhe, (Ambegaon), Off,Westerly by pass Pune- 411041",Pune,www.sinhgad.edu,director_mca_simca@sinhgad.edu,66831907,Manish Kasabekar,66831922
"D.Y. Patil College of Engineering and Technology, Kolhapur","Kasaba Bavada,Taluka Karveer,Kolhapur",Kolhapur,coek.dypgroup.edu.in,dypcet@sancharnet.in,2601433,Anil Pandurang Patil,2601432
"Maharashtra Academy of Engineering & Educational Research's Maharashtra Institute of Pharmacy, Pune","S.No.124, MIT Campus, Ex-servicemen Colony,  Paud Road, Kothrud, Pune ",Pune,www.mippune.edu.in,maeersmippune@gmail.com,30273673,Mr. L. T. Borade,30273653
"Walchand Institute of Technology, Solapur","Solapur Seth Walchand Hirachand Marg, Ashok Chowk, P.B. No.634, Solapur",Solapur,www.witsolapur.org,principal.witsolapur@gmail.com,2652700,K.S.Patil,2652700
"Shetkari Shikshan Mandal's Pad. Vasnatraodada Patil Institute of Technology, Budhgaon,(Diploma) Sangli","PVPIT), Budhgaon, Tasgaon Rd., Tal : Miraj ",Sangli,www.pvpitsangli.edu.in,0045principal@msbte.com,2366500,Mr. Ashok Raghunath Kale,2366317
"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur","R.S. No. 199, B/1-3, Gokul_Shirgaon,Tal: Karveer Kolhapur , 416234",Kolhapur,www.kitcoek.in,info@kitcoek.in,2636202,Dr. M. M. Mujumdar,7769001199
"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar","At & Post - Warananagar Taluka : Panhala Kolhapur , 416113",Kolhapur,www.tkietwarana.ac.in,principal@tkietwarana.ac.in,224012,Mr. D. S. Thombare,224012
"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara","Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Near Circuit House, Sadar Bazar, Camp-Satara",Satara,www.kbpcoes.edu.in,registrar@kbpcoes.edu.in,233005,Mr. Ganesh Kisan Suravase,230636
"Pune Institute of Computer Technology, Dhankavdi, Pune","Sr.No. 27, Pune -Satara Road,Dhankavdi, Pune ",Pune,www.pict.edu,principal@pict.edu,24371101,Mr. M. G. Kshatriya,24371101
"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Sector-29,Nigdi Pradhikaran, Akurdi, Pune",Pune,www.dypcoeakurdi.ac.in,principal@dypcoeakurdi.ac.in,27653058,Dr. N. S. Jain,27653054
"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune","666, Upper Indira Nagar, Bibwewadi, Pune",Pune,www.vit.edu,registrar@vit.edu,24202221,Prof. Mukund M. Kulkarni,24283001
"Pune Vidyarthi Griha's College of Engineering and Technology,  Pune","44, Vidyanagari, Parvati, Shivdarshan Chowk, Near Muktangan English School, Pune",Pune,www.pvgcoet.ac.in,info@pvgcoet.ac.in,24211514,HADAP MEENA PRASAD,24228258
"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati","Malegaon BK, Tal: Baramati Dist. Pune",Pune,www.engg.svpm.org.in,coembk.office@gmail.com,255113,Phalke Rajaram Babasaheb,255113
"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune","Karvenagar, Pune",Pune,www.cumminscollege.org,administrator@cumminscollege.org,25311100,Smt. Revati Gore,25311000
"Dr. J. J. Magdum  Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur","Gat no. 314/330, Shirol wadi road, Jaisingpur Dist. Kolhapur",Kolhapur,www.jjmcoe.ac.in,principal@jjmcoe.ac.in,221828,Shri S.B. Kolekar,221123
"All India Shri Shivaji Memorial Society's College of Engineering, Pune","Kennedy Road, Near R.T.O., Pune",Pune,www.aissmscoe.com,contact@aissmscoe.com,26059562,Mr A B Bhonsle,26058587
"Modern Education Society's College of Engineering, Pune","Wadia College Campus 19, Late Prin. V. K. Jog Path, Pune",Pune,www.mescoepune.org,principal@mescoepune.org,26169730,Mr S.S.Ingole,26163831
"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",At  Post : Ashta. Tal- Walwa Dist. Sangli ,Sangli,www.adcet.in,profrak@rediffmail.com,241115,Prof. S. B. Hivarekar,241107
"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune"," Vidyanagari, Bhigwan Road, Baramati Dist. Pune ",Pune,www.vpkbiet.org,principal.vpkbiet@vidyapratishthan.com,239500,Mr. Satish H. Taware,239503
"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune","Katraj,Dhankawadi campus, Pune-Satara Road, Pune ",Pune,coewpune.bharatividyapeeth.edu,coewpune@bharatividyapeeth.edu,24371684,Mr. Sathe Ashok Tukaram,24371684
"Bharati Vidyapeeth's College of Engineering, Kolhapur","Near Chitranagari, Kolhapur",Kolhapur,www.coekolhapur.bharatividyapeeth.edu,coekolhapur@bharatividyapeeth.edu,2639986,Mr. Kadam R. L.,2638894
"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",Survey No.2/3/4 Kondhwa (Bk.) Pune,Pune,www.viit.ac.in,director@viit.ac.in,26950201,Mr. Mahesh S. Kurulekar ,26950200
"Kai Amdar  Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur","Gat No.137, Solapur-Manglwedha-Kolhapur Highway,Taluka: North Solapur, Belati  Solapur",Solapur,www.bmitsolapur.org,bmit@bmssp.org,2283822,Mr Anand Siddharam Uppin,2283842
"Gourishankar Educational & Charitable Trust's Satara College of Engineering & Management, Limb, Satara","Survey No.989,/A-1,  & 990/ At. Posty. Limb Taluka & District : Satara",Satara,www.gourishankarengineering.org,scoem_sat@yahoo.com,268754,Nirmal Pawar,268754
"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli","Post Khamla(Bha.), Vita, Gat No.421,Tal- Khanapur Dist . Sangli",Sangli,www.agiv.edu.in,aitrc@agiv.edu.in,229021,Mr. A. D. Chavan,229021
"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli","1284, Ubale Nagar, Wagholi, Taluka Haveli Dist. Pune ",Pune,www.dpcoe.com,dpcoepune@gmail.com,66059900,Pankaj P. Amrutkar,66059900
"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)","18(2 A/2) Pratap Nagar , Bijapur Road, Solapur",Solapur,www.agpit.edu.in,contact@agpit.edu.in,2343099, G N Kulkarni,2342499
"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune","Vishnupuri Talegaon Station, Taluka Mavel, Dist. Pune",Pune,www.nmiet.edu.in,nmiettalegaon@gmail.com,231888,Vijay Shirke,231666
"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi","Gut No. 720/1 & 2, Pune Nagar Road, Wagholi, Tal. Hawali Dist. Pune",Pune,www.bsiotr.org,pricipalbsiotr@gmail.com,67335108,Mr. Anuse Pritam Mahadev ,67335108
"Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva","GAT No 329/1, Kille Macchindragad, 
Tal. Walwa Dist. Sangli",Sangli,www.sspmjcem.com,contact@sspmjcem.com,8605480504,Mr. Pramod Pawar,266407
"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala","Sanjeevan Knowladge City, Somwarpeth (Injole), Panhala, Tal. Panhala. Dist. Kolhapur",Kolhapur,www.seti.edu.in,office@seti.edu.in,2686601,Shri. B. V. Kumbhar,2686600
"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)","Gat No.525 & 473/A, Yadrav, Tal. Shirol, Dist: Kolhapur",Kolhapur,www.sitcoe.ac.in,contact@sitcoe.org.in,253016,Shinde D D,253001
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi","S. No 209, At Post - Wadwadi, Tal - Khandala, Dist - Satara",Satara,www.abhinavengg.org,abhinavengineering@yahoo.com,286109,Mrs.Yadhav Sunita A.,286109
"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli","Survey No. 25/27, Post Yevalewadi, Village Pisoli, Near Bopdev Ghat, Near Hotel Garwa, Tal. Haveli. Dist. Pune",Pune,www.kjei.edu.in,principalkjcoemr@gmail.com,65789009,SANDIP PRALHAD PANCHBHAI,26934417
"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur","72/2 B, Pratap Nagar, Soregaon-Dongaon Road, Solapur",Solapur,www.vvpengineering.org,vvpiet@rediffmail.com,6054555,Mr. M. B. Patil,6452555
"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi","At Dumberwadi, Post Khamundi(Otur), Tal. Junnar Dist. Pune",Pune,www.spcoe.in,principalspoce09@gmail.com,239203,Benke Vishal Chandrakant,239202
"D. Y. Patil College of Engineering, Ambi, Talegaon, Maval","A/P Ambi, Talegaon, Maval, Dist.Pune",Pune,www.dyptc.com,ddypea@gmail.com,2114306,SHRI. Bhavanrao Gaikwad,306228
"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor","S.No. 237, Dhangwadi, Tal. Bhor. Dist.  Pune ",Pune,www.rajgad.edu.in,scscoe@gmail.com,282556,Mr. Goraknath D. Jagtap,282556
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune","Sr. No. 50, Marunji, Tal-Mulshi, Nr. Rajiv Gandhi IT Park, Hinjewadi, Dist. Pune",Pune,www.alardinstitutes.com,info@alardinstitutes.com,66523700,Mr.B.B.Chavan,66523702
"Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur
","G. No. 125, 124, A/P Shelve, Tal. Pandharpur. Dist. Solapur",Solapur,www.karmayogiengg.com,kecmailbox@rediffmail.com,250310,WALAKE G.D.,250301
"Sinhgad Technical Education Society's Sinhgad Institute of Pharmaceutical Sciences , Lonavala","S.No. 309/310, Kusgaon (Bk.), Off. Mumbai-Pune Expressway, Lonavala, Tal- Maval, Dist - Pune - 410401",Pune,www.sinhgad.edu,sips@sinhgad.edu,673322,Mr. Somnath B. Nalawade,673324
"Bharti Vidyaapeeth's Jawaharlal Nehru Institute of Technology, Pune","Pune Satara Road,  Dhanakawadi, Katraj Pune , 411043",Pune,www.bvjniot.bharatividyapeeth.edu,bvjniot@bharatividyapeeth.edu,24372434,--,24379467
"Poona District Education Association's, Institute of Technology,Hadpsar,Pune","A.M. COllege Campus, Mahadeo Nagar, Manjari Road, Hadapsar,Pune-411028",Pune,www.pdeaioth.in,iot@pdeapune.org,26990602,Rakhunde K N ,26992415
"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune","Vishnupuri,Talegaon Dabhade(St.), Tal.Maval District. Pune ",Pune,www.ncerpune.com,ncerpune@gmail.com,228175,Mr.Samadhan Kumbhar,228175
"Bharati Vidyapeeth's Institute of Technology, Palus, Sangli","Atpost:Palus,Tal:Palus, Dist:Sangli 416310",Sangli,www.iotpalus.bharatividyapeeth.edu,mmsdeshmukh@rediffmail.com,228008,Mr. Kulkarni H.R,228585
"Shri Jain Vidya Prasarak Mandal's Rasiklal M. Dhariwal Institute of Technology, Chinchwadgaon, Pune","Shri Fattechand Marg Pune , 411033",Pune,www.rmdiot.com,rmdiot@gmail.com,98228894,Deshpande A A,27353516
"Sai Charitable Trust, Indira Institute Of Diploma Engineering(Poly), Sasure, Tal. Barshi","Flat No. 67, At Post Sasure ( Bairag )Solapur_Barshi Highway, Barshi, Solapur 413402",Solapur,www.iidepoly.in,ssctiide@gmail.com,240700,Mr.Shinde D.B.,240700
"Vidyavardhini Charitable Trust's Abhaysinhraje Bhonsle Institute of Technology, Shahunagar- Shendra, Satara","Gat No. 282, 290 & 291 Shendre Satara  415001",Satara,www.abitsatara.com,abitsatara@rediffmail.com,279661,MR. BHOSALE SOPAN SHIVAJI,279661
"Dinkarrao K. Shinde Smarak Trust, Dr. A.D. Shinde Institute Of Technology, Gadhinglaj","At Post-Bhadgaon, Taluka Gadhinglaj, Dist. Kolhapur  416502",Kolhapur,www.adshindeit.org,principal_dads@rediffmail.com,250457,Mr. S. M. Mhaldar,250656
"Sharad Institute of Technology Polytechnic, Yadrav( Ichalkaranji)","Jay-Sangli Naka, Yadrav-Ichalkaranji, Shirol, Kolhapur  416121",Kolhapur,www.sitpolytechnic.org,contact@sitpolytechnic.org,253053,Mr.Wasim Ibrahim Shaikh,253050
